timestep,velocity_norm_mean,velocity_norm_std,angular_diff_mean,angular_diff_std,cosine_sim_mean
1.0,55.95910120010376,0.8737121447920799,,,
0.8999999761581421,57.42868614196777,2.2913565933704376,9.487282514572144,3.483414739370346,0.9844906255602837
0.800000011920929,58.33373832702637,2.8087611198425293,5.968301296234131,2.441300481557846,0.9936745911836624
0.699999988079071,58.83124399185181,3.021035999059677,4.697113990783691,1.7898388057947159,0.9961549565196037
0.6000000238418579,59.03250789642334,3.117276221513748,3.826470375061035,1.2394808530807495,0.9975374639034271
0.5,59.017661571502686,3.196437656879425,3.3548161387443542,0.9981101527810097,0.9981340169906616
0.4000000059604645,58.82715892791748,3.2890959680080414,3.2796886563301086,0.9007353857159615,0.9982386752963066
0.30000001192092896,58.40891790390015,3.4177916944026947,3.691510796546936,0.9401641935110092,0.9977907091379166
0.20000000298023224,57.437950134277344,3.662016898393631,5.011578679084778,1.1811586618423462,0.9959652870893478
0.10000000149011612,52.600643157958984,4.507700502872467,11.153099179267883,2.078592225909233,0.9804661571979523
