eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std
0,0.025,midpoint,0.9960533380508423,0.0008438700460828841,4.5728555,2.2457829,55.60939407348633,0.1350434571504593
1,0.05,start,0.995704710483551,0.0007458074251189828,4.852083,2.1682677,56.04412078857422,0.22125066816806793
2,0.07500000000000001,midpoint,0.9980955719947815,0.00022455597354564816,3.3237686,1.2101902,56.51652908325195,0.2952713072299957
3,0.1,start,0.9984513521194458,0.00025832021492533386,2.9443464,1.2272024,57.041866302490234,0.3559213876724243
4,0.125,midpoint,0.9991012811660767,0.0001680434070294723,2.2195094,0.98870724,57.41979217529297,0.3880903422832489
5,0.15000000000000002,start,0.9990650415420532,0.0002203272597398609,2.2138448,1.1142404,57.826839447021484,0.4167512357234955
6,0.17500000000000002,midpoint,0.9994229674339294,0.00011750111298169941,1.7584769,0.8353945,58.12052536010742,0.4348621368408203
7,0.2,start,0.999401867389679,0.00011876859207404777,1.7838408,0.8643017,58.41370391845703,0.44682031869888306
8,0.225,midpoint,0.9996168613433838,5.979727575322613e-05,1.4497651,0.6439792,58.61259460449219,0.4534139335155487
9,0.25,start,0.9995883703231812,7.025260856607929e-05,1.492277,0.6899874,58.812557220458984,0.45682665705680847
10,0.275,midpoint,0.9997228980064392,4.261113645043224e-05,1.2433854,0.5235707,58.953102111816406,0.46035221219062805
11,0.30000000000000004,start,0.9996979832649231,5.171723023522645e-05,1.2890918,0.5671732,59.08885192871094,0.46391230821609497
12,0.32500000000000007,midpoint,0.9997905492782593,2.6446587071404792e-05,1.0964181,0.4158557,59.18859100341797,0.4680447578430176
13,0.35000000000000003,start,0.9997716546058655,2.976810537802521e-05,1.1403625,0.4462342,59.28571701049805,0.47151055932044983
14,0.37500000000000006,midpoint,0.9998312592506409,2.0415856852196157e-05,0.99261564,0.350595,59.34602737426758,0.4743407964706421
15,0.4,start,0.9998161196708679,2.3394262825604528e-05,1.0333765,0.37409076,59.40945053100586,0.47591325640678406
16,0.42500000000000004,midpoint,0.9998592734336853,1.5479758076253347e-05,0.9157467,0.2919129,59.44526290893555,0.47769901156425476
17,0.45,start,0.9998419284820557,2.840208435372915e-05,0.95852095,0.3447408,59.47563552856445,0.47952699661254883
18,0.47500000000000003,midpoint,0.9998747706413269,1.8602768250275403e-05,0.8635283,0.27750486,59.48566818237305,0.4816321134567261
19,0.5,start,0.9998637437820435,1.5555842765024863e-05,0.9017547,0.28482878,59.49123764038086,0.4838307201862335
20,0.525,midpoint,0.999886691570282,1.0193846719630528e-05,0.8315467,0.22928669,59.4801025390625,0.48642903566360474
21,0.55,start,0.9998738765716553,1.1583269952097908e-05,0.87583655,0.24794894,59.45829391479492,0.48915740847587585
22,0.5750000000000001,midpoint,0.9998885989189148,9.438368579139933e-06,0.8270999,0.21832208,59.43065643310547,0.491665244102478
23,0.6000000000000001,start,0.999871551990509,1.1719602298398968e-05,0.88532245,0.24409136,59.390193939208984,0.49426981806755066
24,0.6250000000000001,midpoint,0.9998818635940552,1.0096530786540825e-05,0.8524389,0.22074133,59.34270095825195,0.496901273727417
25,0.65,start,0.9998589158058167,1.3780511835648213e-05,0.9282725,0.25450063,59.2851448059082,0.49957239627838135
26,0.675,midpoint,0.9998655915260315,1.1654105946945492e-05,0.911206,0.22822218,59.21669006347656,0.5024886131286621
27,0.7000000000000001,start,0.999835729598999,1.440171035937965e-05,1.0054272,0.26047704,59.12974548339844,0.505731463432312
28,0.7250000000000001,midpoint,0.9998359084129333,1.3956967450212687e-05,1.0094835,0.2417331,59.02781677246094,0.5096250176429749
29,0.75,start,0.9997885823249817,2.0020961528643966e-05,1.1432391,0.28507492,58.906558990478516,0.5149548053741455
30,0.775,midpoint,0.9997842311859131,1.863407487689983e-05,1.1590431,0.2716473,58.74445724487305,0.5213987231254578
31,0.8,start,0.9997082948684692,2.5640574676799588e-05,1.3439591,0.33112186,58.550472259521484,0.5296172499656677
32,0.8250000000000001,midpoint,0.9996817111968994,2.480061630194541e-05,1.4085329,0.32609004,58.33171081542969,0.5387232303619385
33,0.8500000000000001,start,0.9995402097702026,3.538253076840192e-05,1.6895561,0.4058638,58.023433685302734,0.551415205001831
34,0.8750000000000001,midpoint,0.9994394183158875,4.2029187170555815e-05,1.8722967,0.419064,57.63954162597656,0.5673395395278931
35,0.9,start,0.9990078210830688,7.931742584332824e-05,2.4882274,0.57007813,57.06226348876953,0.5912392139434814
36,0.925,midpoint,0.9984601140022278,0.00011154697858728468,3.1101074,0.6641427,56.26628494262695,0.6236332654953003
37,0.9500000000000001,start,0.9962208867073059,0.0002834250044543296,4.8617373,1.0932631,54.80550003051758,0.680431604385376
38,0.9750000000000001,midpoint,0.9882565140724182,0.0008079637191258371,8.57913,1.9199737,52.334632873535156,0.7882866859436035
